id,reactant_smiles,product_smiles,likelihood
801,C.C.Cl.F.O.O.O.O,Br.Br.C.C.F.F.N.O.O.O,0.66
802,Br.C.C.Cl.F.O.O.O,Br.C.N.N.O,0.58
803,Br.C.F,Br.C.C.Cl.Cl.F.F.N.N.O,0.69
804,Br.C.C.Cl.Cl.Cl.F.O,C.C.N.O,0.88
805,Br.Br.C.C.F.N.N.O.O.O,Br.C.C.C.Cl.F.N,0.99
806,C.C.F.F.N.O.O,C.C.C.Cl,0.52
807,Br.C.C.N,Br.Br.Br.C.C,0.82
808,C.Cl.Cl,C.C.C.Cl.Cl.F.N.O,0.52
809,C.F.O,Br.C.Cl.O.O,0.61
810,C.C.Cl.N.O.O,C.Cl.F.O,0.88
811,Br.C.Cl.F.F.F.N.O.O.O,C.C.Cl.O.O,0.95
812,Br.Br.C.C.Cl.Cl.N.N,C.C.O.O,0.79
813,Br.Br.C.F.N.N,Br.Br.Br.C.C.F.N.N.O.O,0.59
814,C.C.Cl.F.N.O,Br.Br.C.C.C.Cl.F.O.O,0.97
815,C.Cl.F,C.C.Cl.F.N,0.84
816,Br.Br.C.F.F.F.O,C.C.Cl.N.O,0.56
817,Br.C.N.N.O,C.Cl.F.N.O,0.98
818,Br.C.F.N.O,Br.Br.C.N.N.O.O,0.68
819,Br.Br.C.Cl.F.F.F.N.O,C.N,0.8
820,C.Cl.F.F.O.O,C.F.F.F.N.N.N,0.91
821,Br.Br.C.Cl.F.O,C.C,0.58
822,Br.C.Cl.N,Br.C.Cl.O,0.74
823,Br.C.F.F.F.O,C.Cl.F.N.O.O,0.78
824,C.O.O,C.C,0.68
825,Br.C.C.Cl.Cl.F.N.N.N,C.Cl.N.N.N.O.O,0.61
826,C.C.C.C.F.F.N.O,Br.C.C.C.C.Cl.Cl.O.O.O,0.63
827,Br.C.C.C.C.N.N.O.O.O,Br.C,0.59
828,Br.C.C,C.O,0.67
829,Br.C.C.C.F.N.N,Br.C.C.F.N.N,0.74
830,Br.C.C.N.O,Br.C.Cl.F,0.89
831,C.F.N,C.O,0.83
832,Br.Br.Br.C.C,Br.C.C.Cl.Cl.Cl.O,0.67
833,C.O,Br.C.F.N.N.N,0.53
834,C.Cl.O,C.C.C.Cl.F.F.F.F.N,0.61
835,C.Cl.F.O,C.C.F.F.F,0.76
836,Br.C,Br.Br.C.C.C.C.Cl.F,0.71
837,Br.C.O.O,C.F,0.83
838,C.C.C.Cl.N,C.F,0.83
839,Br.Br.C.Cl.Cl.N.O,C.O.O,0.53
840,Br.C.C.C.Cl.Cl.F.F.F,Br.Br.Br.Br.C.C.N.O,0.63
841,Br.C,Br.Br.C.Cl.F.F.O,0.73
842,Br.Br.C.F.N.O.O.O,Br.Br.C.C.Cl.Cl.Cl.Cl.Cl.F,0.76
843,Br.Br.C.C.C.N,Br.Br.C.C.C.F.O.O,0.63
844,Br.Br.C.Cl.Cl.Cl.Cl.O,Br.C.C.Cl.Cl.N.N,0.89
845,Br.Br.C.C.F.F.F.F.N.O,C.C.Cl.N.N.O,0.85
846,C.C.F,Br.Br.C.C.F.O.O,0.73
847,C.C.F.O.O,Br.Br.C.N,0.69
848,Br.Br.Br.C.C.F.F.F.O,Br.C.Cl.F.O.O,0.56
849,Br.C.C.Cl.Cl.F.N.O,C.Cl.Cl.Cl.Cl.F.N.O.O,0.82
850,C.C.C,C.C.Cl.F.O,0.92
851,C.C.Cl.Cl.F,Br.Br.C.Cl.N.N.O,0.53
852,Br.C.N.N.O.O.O,Br.Br.C.F,0.91
853,C.Cl.Cl.Cl.N.N.O.O,Br.C.C.C.C.O,0.58
854,C.C.N.O,C.C.F.F.F.O.O,0.61
855,Br.C.Cl.F.F,Br.C.F.N,0.54
856,C.Cl.F.F.F,Br.C,0.78
857,C.Cl.N,Br.C.C.C.C.Cl.Cl.N.O.O,0.96
858,C.C.C.F.O,C.C.Cl.Cl.N.O.O,0.91
859,C.C.F.N.N.O,C.N,0.79
860,Br.C.C.C.F.O,C.C.C.Cl.F.F.N.O.O,0.81
861,C.Cl,Br.Br.C.C.F,0.95
862,Br.Br.Br.C.C.N.N.N.O,Br.Br.C.C.C.N.N.O.O.O,0.55
863,C.C.Cl.Cl,Br.C,0.63
864,Br.C.Cl.Cl.Cl.N.O,C.O,0.54
865,C.C.Cl.Cl.F.F.N.O.O.O,C.C.C.Cl.Cl.F.F.N.O,0.54
866,C.Cl,Br.C.C.Cl.Cl.F.F.F.N.O,0.89
867,Br.Br.C.C.Cl,Br.C.C.Cl.Cl.F.F,0.65
868,C.N.N.N,C.C.F.F.F.N.N.O.O.O,0.51
869,C.C.N.N,C.C.Cl.F,0.71
870,C.C.F,Br.C.C.F.F.O,0.78
871,C.C.F.N.N.N.O.O.O.O,Br.Br.C.Cl.O,0.86
872,C.Cl.Cl.Cl.Cl.F.F.F.F.N,Br.C.C.C.Cl.F.N,0.76
873,Br.C.C.N.N.N.O.O,Br.Br.Br.C.C.F.F.N.N.N,0.86
874,C.F.F,Br.C.C.Cl.Cl.F.N.O,0.82
875,Br.C.C.C.F.N,Br.Br.C.C.Cl.Cl.F.N.O,0.84
876,C.Cl.Cl.O,Br.Br.C.F.N.O,0.7
877,Br.C.Cl.Cl.F.O.O,C.Cl.N.N.O.O.O,0.75
878,C.C.C.C.Cl.O.O.O,Br.C,0.55
879,Br.Br.C.C.C.Cl.N.N,Br.C.F.O,0.76
880,Br.C.Cl.Cl.Cl.Cl.F.F.N.N,Br.C.C.C.Cl.Cl.Cl.Cl.O.O,0.95
881,C.C.C.Cl.N.N.O.O,Br.C.C.Cl.Cl.Cl.F.F.N,0.86
882,Br.C.C.C.O.O,Br.Br.C.C.N.O.O,0.51
883,Br.C.C.Cl,Br.C.C.F.N.O.O,0.51
884,C.C.F.F.N.N,C.C.N.N,0.57
885,Br.Br.C.Cl,C.C.Cl.N,0.86
886,Br.C.C.C.Cl.Cl.Cl.F.F.F,C.F.N.N.O.O.O,0.78
887,C.Cl.F.F,C.C.C.C.Cl.Cl.F.O.O,0.75
888,Br.C.C.Cl.Cl.F.F.F.N.O,C.F,0.58
889,Br.Br.C.C.Cl.N,C.C.Cl.F.O,0.85
890,C.C.C.C.Cl.F.F.N,Br.Br.C.Cl,0.9
891,Br.Br.Br.C.C.C.C.Cl.N,C.Cl.N.O.O,0.89
892,C.N,C.C.N.N,0.56
893,Br.Br.C.C.Cl.Cl.N,C.C.Cl.F.F.N.O,0.51
894,C.Cl.Cl.Cl.F.F.N,Br.Br.C.C.C.Cl.F.N.O,0.82
895,C.Cl,Br.C.F.F,0.95
896,Br.Br.C.C.C.C.F.F.F.N,Br.Br.Br.C.C.Cl.Cl.F.N,0.66
897,C.N,Br.C.C.Cl.N.O,0.97
898,Br.Br.Br.C.O,C.C.C.F.F.F.F.F.F.N,0.84
899,C.C.C.F.O,Br.C.C,0.84
900,Br.C.Cl.F.F.O,C.C.F.F.N.N.O,0.83
901,Br.C.C.Cl.O.O,Br.Br.C,0.94
902,Br.C.C.F.F.F.O,Br.Br.C.C.C.Cl.F.N,0.54
903,Br.Br.Br.C.C.Cl.Cl.F.F,C.C.Cl.F.O.O.O,0.51
904,C.F,Br.C.Cl.Cl.N,0.61
905,Br.Br.Br.C.Cl.F.N.O,Br.Br.C.F.O,0.51
906,Br.C.Cl.Cl.F.F.N.N.N.O,C.C.C.C.Cl.N.N,0.99
907,Br.C.C.C.F.F.N.N.O.O,Br.C.C.Cl.F.F,0.86
908,C.C.C.C.Cl.F.F.N.O.O,Br.C.C.Cl.F.O,0.7
909,C.Cl.N.O,Br.C.C.F.F.N.N.O,0.78
910,C.C,C.C.N.N.O.O,0.68
911,C.Cl.O,Br.C,0.6
912,C.N.N.O,Br.Br.C.C.Cl.Cl.N,0.89
913,C.C.Cl.O.O,Br.C.F.N,0.94
914,Br.C.C,C.C.Cl.N.O,0.55
915,Br.C,Br.Br.C.N,0.73
916,Br.C.C.Cl.Cl.N.N.O,C.Cl.Cl.N,0.57
917,C.C.Cl,C.C.F.F.N,0.53
918,C.C.Cl.Cl.F.O.O,Br.Br.Br.Br.C.C.F.F.F.O,0.93
919,Br.Br.C.F.N.O,Br.C.F.F.O,0.93
920,Br.C.C.C.C.C.Cl.Cl.O,C.Cl.F.O.O.O.O,0.67
921,Br.C.F.F.N.O.O,C.Cl.Cl.F.O,0.6
922,C.F.N.N.N.O,C.Cl,0.56
923,Br.C.C.Cl.F.N.O.O,C.O.O,0.73
924,Br.C.C.F.F.F.N.O,Br.C.C.C.Cl.Cl.F,0.61
925,C.C.C.C.F.F.O,C.C.Cl.F.F.F.F.N,1.0
926,C.C.F,Br.Br.Br.C.C.F.F.N.N.O,0.79
927,Br.C.Cl.Cl.F.F.F.N.O,Br.C,0.85
928,Br.Br.C.C.Cl.N,C.O,0.58
929,Br.Br.C.Cl.N.O,C.F,0.96
930,Br.Br.C.F.F.N.O,Br.C.Cl.Cl.F.O,0.54
931,C.C.C.Cl.F.N,Br.C.F.N.O,0.79
932,Br.Br.C.C.F.N.O,Br.C.Cl,0.81
933,Br.C,Br.C.N.N.N,0.57
934,C.O,Br.C.N,0.83
935,C.Cl,C.C.O,0.75
936,Br.C.C.Cl.Cl.F.O.O.O,C.F,0.65
937,Br.C.Cl.Cl.F.F.N.N.O,Br.C.C.N,0.5
938,Br.Br.Br.C.Cl.Cl.F.N.O,C.C.C.C.Cl.F.F.N.O,0.86
939,C.C.Cl.F.F.O,C.C.F.O,0.63
940,C.C.Cl.F.O.O,Br.C.N,0.81
941,C.Cl.F.F.F.N.N.O,Br.C.C.C.C.F.N.O,0.51
942,Br.C.C.C.C.C.Cl.N.N,C.C.Cl.Cl.F.N.O.O,0.83
943,Br.C.C.C.F,Br.C.Cl.N.N.N.N,0.84
944,Br.Br.C.C,Br.C.C.N.N.O.O,0.81
945,Br.Br.Br.C.C.N,Br.C.C.Cl.Cl.Cl.N.N.N.N,0.9
946,Br.Br.C.C.C.C.C.Cl.Cl.Cl,Br.Br.C.Cl.Cl.Cl.F.F.F.O,0.51
947,Br.C.C.C.Cl.Cl.F.F,C.C.F.O.O.O,0.59
948,C.F,Br.C.C.F.F.N,0.95
949,C.F.N,Br.C.C.Cl.F.F.F.N.N,0.89
950,C.Cl.F.F.N.N.N.O,C.C.C.C.F,0.67
951,Br.Br.Br.C.C.Cl.F.N.N.O,C.F.N.N,0.84
952,C.C.C.C.Cl.F.F.N.N.O,C.Cl.F.F.O.O,0.72
953,Br.Br.C.C.Cl.Cl.N.N,Br.C.C.C.Cl.Cl.F.F.O.O,0.87
954,Br.Br.C,C.O.O,0.5
955,Br.C.N.N.N.O,Br.C.F.N,0.78
956,Br.Br.C.F.O.O,Br.Br.Br.C.C.Cl.Cl.Cl,0.91
957,C.F,Br.Br.C.C.Cl.O.O.O,0.72
958,Br.C.Cl.Cl.F.N,Br.C.C.Cl.Cl.N.N.O,0.71
959,Br.Br.C.C.Cl.F.N,Br.C.O,0.76
960,Br.C.F.O.O,C.C.N,0.85
961,Br.C.C.Cl.Cl.F.F.F.N.O,Br.C.C.C.F.F,0.97
962,C.C.Cl.Cl.Cl.F,Br.C.N.O,0.95
963,Br.C.C.C.Cl.F.N.O.O.O,Br.Br.C.C.C.C.F.N.O.O,0.91
964,C.F,Br.C.C.Cl.Cl.N.N.O.O.O,0.82
965,C.C.C.C.Cl.F.N.N.O.O,Br.Br.C.C.F.F.N.N.O,0.9
966,Br.C.C.Cl.Cl.F.N.N.N.O,Br.Br.C.C.C.C.F.O,0.81
967,Br.C.C.Cl.F.N.N,Br.C.C.Cl.Cl.F.N.O.O.O,0.84
968,Br.C.C.Cl.F.N,C.Cl,0.9
969,C.C.Cl.F,Br.Br.Br.C.F.N.N.O.O,0.66
970,C.Cl,Br.C.F.O,0.92
971,C.C.C.Cl.N.O.O,C.Cl.F.F.O,0.99
972,C.C.Cl.N.O.O,C.C.C.Cl.F.F,0.89
973,C.C.Cl.N,Br.Br.C.F.N.N,0.65
974,Br.C.C.Cl.Cl.O.O,Br.C.C.C.Cl.Cl.O,0.88
975,Br.C.C.C.Cl.F.O,Br.Br.C.C.Cl.N,0.79
976,C.C.F.N.O,Br.C.C.C.Cl,0.59
977,Br.Br.C.Cl.Cl.Cl.F.F.O,Br.C.C.Cl.Cl.Cl.Cl.F,0.65
978,Br.C.C.Cl.Cl.Cl.F,C.C,0.96
979,Br.C.F.N,Br.Br.C.C.Cl.Cl.Cl.Cl.F,0.84
980,Br.C.F.F.N.N.O,Br.Br.C.C.Cl.Cl.F.O.O,0.86
981,C.O,Br.C.C.F.N.O,0.54
982,C.C.C.Cl.Cl.Cl.O.O.O.O,Br.C.F.O,0.51
983,Br.C.C.C.Cl.Cl.F.N.O,C.C.Cl.N,0.62
984,Br.Br.C.N.N.N.N,C.Cl,0.91
985,Br.Br.C.C.C.C.N.O.O,C.N,0.55
986,Br.Br.C.C.C.F.O.O,Br.Br.C.Cl.Cl.F.F.N.O,0.77
987,Br.C.F.N.N.N.O,Br.C.C.C.Cl.Cl.F.O.O,0.66
988,Br.C.C.C.Cl.F.F.O.O,Br.C.N.N.N.O.O,0.77
989,Br.Br.C.F.F.N.N.O.O.O,C.N.N,0.64
990,C.Cl.F.N.N.O.O.O,C.N.N.O,0.92
991,C.C.C.Cl.Cl.F.O,C.Cl.F.F,0.71
992,Br.Br.C.C.Cl.Cl.Cl.N.O,C.F.O,0.76
993,C.C.C.Cl.Cl.F.F.F.N.N,Br.C.C.C.Cl.Cl.O.O,0.58
994,C.C.F.F,C.F.O,0.92
995,C.C.Cl.N.O.O,C.C.Cl.F.F.N.O.O.O,0.9
996,C.C.C.Cl.F.F.F.N.O.O,C.C.F,0.83
997,C.C.C.C.Cl.F.F,C.Cl.O,0.71
998,Br.C.C.Cl.F.N,C.Cl.Cl.Cl.F.F,0.67
999,Br.C.O,C.Cl.Cl.F.N.N.N.N,0.9
999,C.O.O,C.C.Cl.N.N.N,0.81
